question,choices,mi_bits,idiolect_bits,ratio,geo_share,rho_q,idiolect_share,entropy_bits,cond_entropy_bits,var_geo,var_idiolect,var_noise,text
95,6,0.40009681606578107,0.055012380398338875,7.27285045963694,0.8791226790718654,0.15930400019750868,0.15085635689280683,1.7405540646644395,1.3404572485986586,0.17095989878038143,0.1062850579724483,0.5982597166834233,"What is ""the City""?"
106,8,0.4332037707964479,0.06627871820565304,6.5360915618838735,0.8673052215742958,0.1466740558865427,0.12773276056787475,2.0242559011808803,1.5910521303844325,0.1805199361407504,0.12553522258216568,0.857260592869256,What do you call the act of covering a house or area in front of a house with toilet paper?
74,12,0.44836557562669727,0.07442755885667998,6.024187579362692,0.8576347814318007,0.15494395038989994,0.14265328096862792,2.5555294065839247,2.1071638309572274,0.1466319062190436,0.1494573804411733,0.8982393807293022,What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?
105,10,0.5843247877274299,0.10077318649726907,5.798415313018458,0.8529068975699271,0.19878886198321682,0.23578108342606927,2.213489204586064,1.6291644168586343,0.09213688877266368,0.28186098717010255,0.9135741303315182,What is your generic term for a sweetened carbonated beverage?
110,9,0.3387416263170486,0.06714064863675372,5.045254003274803,0.8345809788210247,0.14873571480771053,0.1313742219075604,1.4941892687341358,1.1554476424170872,0.2870006373395205,0.19932391205755012,1.3178984863959422,What do you call the night before Halloween?
79,10,0.3482514555947633,0.07666224518614238,4.542672273022783,0.8195816114066159,0.15376624223957222,0.14047742177674333,2.2263420176420334,1.8780905620472703,0.10027578377709465,0.17125124107197706,1.0478147049427617,What is your *general* term for a big road that you drive relatively fast on?
64,11,0.31015451211181616,0.07024709731448708,4.415193281557171,0.8153343845720602,0.15075203079521804,0.13498579810285052,1.4305759242278406,1.1204214121160248,0.2496811619388865,0.24861155492346243,1.5931492704193368,"What do you call the long sandwich that contains cold cuts, lettuce, and so on?"
103,5,0.33531250544009056,0.08219784569791555,4.079334471518805,0.8031238136399032,0.192601438479813,0.22120263811709495,1.3769572637617946,1.041644758321704,0.15010428337717963,0.20438448578002646,0.7195849908942721,What do you call the thing from which you might drink water in a school?
99,8,0.3629813675489293,0.0918701081486234,3.9510279770403023,0.7980217432344637,0.18054363762910836,0.19415207369522164,2.5290751279406134,2.1660937603916843,0.04739831386740884,0.13126428592008915,0.5448257677259346,Which of these terms do you prefer for the small road parallel to the highway?
104,6,0.23864004088497676,0.06368834266297185,3.7469971882895474,0.7893405114148966,0.14343928826959804,0.12212379693766814,1.2788071530671707,1.040167112182194,0.19431522551450703,0.15842654731414677,1.1388353401049571,What do you call a public railway system (normally underground)?
73,11,0.35940528186429843,0.09607960473181684,3.740703168664068,0.7890608282311418,0.1689959546306666,0.16992542125935994,2.00774838065937,1.6483430987950718,0.05799430192466781,0.2564047619053037,1.252520506633233,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?"
