criterion,n,question,bits,entropy,mi_bits,idiolect_bits,ratio,geo_share,selfconsistency_km,selfconsistency_state_acc,text
ratio,1,95,0.40045997500419617,12.534146308898926,0.40009681606578107,0.055012380398338875,7.27285045963694,0.8791226790718654,1161.01953125,0.1075,"What is ""the City""?"
ratio,2,106,0.429574191570282,12.149958610534668,0.4332037707964479,0.06627871820565304,6.5360915618838735,0.8673052215742958,957.1433715820312,0.2025,What do you call the act of covering a house or area in front of a house with toilet paper?
ratio,3,74,0.38311195373535156,11.758103370666504,0.44836557562669727,0.07442755885667998,6.024187579362692,0.8576347814318007,828.1954345703125,0.2125,What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?
ratio,4,110,0.3043513596057892,11.452802658081055,0.3387416263170486,0.06714064863675372,5.045254003274803,0.8345809788210247,775.4608154296875,0.275,What do you call the night before Halloween?
ratio,5,105,0.386440634727478,11.057138442993164,0.5843247877274299,0.10077318649726907,5.798415313018458,0.8529068975699271,660.8035888671875,0.29,What is your generic term for a sweetened carbonated beverage?
ratio,6,79,0.24273662269115448,10.830041885375977,0.3482514555947633,0.07666224518614238,4.542672273022783,0.8195816114066159,554.3175048828125,0.3325,What is your *general* term for a big road that you drive relatively fast on?
ratio,7,64,0.2005382925271988,10.629312515258789,0.31015451211181616,0.07024709731448708,4.415193281557171,0.8153343845720602,502.5933837890625,0.3625,"What do you call the long sandwich that contains cold cuts, lettuce, and so on?"
ratio,8,99,0.2359914928674698,10.361018180847168,0.3629813675489293,0.0918701081486234,3.9510279770403023,0.7980217432344637,336.92755126953125,0.4275,Which of these terms do you prefer for the small road parallel to the highway?
ratio,9,118,0.1807873696088791,10.126717567443848,0.2993429661453789,0.08033762701111595,3.7260618377981243,0.7884073390656477,279.9285888671875,0.4525,What do you call a drive-through liquor store?
ratio,10,28,0.10253379493951797,10.034536361694336,0.16395122143819646,0.050593633188588776,3.2405504626849986,0.7641815587859252,273.16546630859375,0.465,"Do you pronounce ""cot"" and ""caught"" the same?"
ratio,11,104,0.11433850973844528,9.935016632080078,0.23864004088497676,0.06368834266297185,3.7469971882895474,0.7893405114148966,261.171142578125,0.4725,What do you call a public railway system (normally underground)?
ratio,12,103,0.14123868942260742,9.781281471252441,0.33531250544009056,0.08219784569791555,4.079334471518805,0.8031238136399032,235.2760467529297,0.5,What do you call the thing from which you might drink water in a school?
ratio,13,60,0.12038519233465195,9.685345649719238,0.18910222829386275,0.07625327836052416,2.4799225995214362,0.7126372867782975,231.87635803222656,0.5,What do you call the area of grass between the sidewalk and the road?
ratio,14,1,0.10166589915752411,9.607056617736816,0.18608949630162047,0.06957627141112185,2.674611509461742,0.7278623883300034,221.3651580810547,0.515,aunt
ratio,15,107,0.0997416228055954,9.511999130249023,0.22134129516711976,0.07345183259196802,3.0134210047105547,0.7508360077783269,213.9900360107422,0.5125,What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?
ratio,16,83,0.11104940623044968,9.414531707763672,0.276360179573284,0.08949946994898539,3.087841522757722,0.755372121342565,197.97128295898438,0.525,What do you call an easy course?
ratio,17,73,0.11615696549415588,9.321527481079102,0.35940528186429843,0.09607960473181684,3.740703168664068,0.7890608282311418,176.83248901367188,0.5275,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?"
ratio,18,76,0.11969567090272903,9.21479606628418,0.30248151867815076,0.10277320282047764,2.9431944356791138,0.7463985060052521,176.83248901367188,0.5475,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?
ratio,19,58,0.11342887580394745,9.102453231811523,0.2807336001406233,0.10992452690575692,2.5538759005195306,0.7186170738674884,165.82440185546875,0.5625,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?"
ratio,20,84,0.09556899219751358,8.999800682067871,0.2690684885210405,0.09822249233387936,2.739377530824802,0.7325758119481913,159.64356994628906,0.565,What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?
ratio,21,82,0.07643545418977737,8.914316177368164,0.15749877219685546,0.08113015473391567,1.9413098953577446,0.6600154232036906,155.73553466796875,0.58,"What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?"
ratio,22,59,0.09610853344202042,8.799156188964844,0.1634667443396386,0.10459930840439918,1.5627899154710243,0.6098002438814004,133.36505126953125,0.6,"What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?"
ratio,23,41,0.0770774707198143,8.7267484664917,0.1712075074997544,0.09025251851893948,1.8969831569168514,0.6548133192930738,129.09202575683594,0.5925,"Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?"
